rank,x_class,date,region,start_time,max_time,end_time,movie
1,X40+,2003/11/04,486,19:29,19:53,20:06,View archive
2,X28.57+,2001/04/02,9393,21:32,21:51,22:03,View archive
3,X24.57+,2003/10/28,486,09:51,11:10,11:24,View archive
4,X24.42+,2005/09/07,808,17:17,17:40,18:03,View archive
5,X20.67+,2001/04/15,9415,13:19,13:50,13:55,View archive
6,X14.36,2003/10/29,486,20:37,20:49,21:01,View archive
7,X13.3,2017/09/06,2673,11:53,12:02,12:10,View archive
8,X12.97,1997/11/06,8100,11:49,11:55,12:01,View archive
9,X12.95,2006/12/05,930,10:18,10:35,10:45,View archive
10,X11.96,2003/11/02,486,17:03,17:25,17:39,View archive
11,X11.88,2017/09/10,2673,15:35,16:06,16:31,View archive
12,X10.18,2005/01/20,720,06:36,07:01,07:26,View archive
13,X9.96,2011/08/09,1263,07:48,08:05,08:08,View archive
14,X9.4,2006/12/06,930,18:29,18:47,19:00,View archive
15,X9,2024/10/03,3842,12:08,12:18,12:27,View archive
16,X8.9,2001/12/13,9733,14:20,14:30,14:35,View archive
17,X8.87,2005/09/09,808,19:13,20:04,20:36,View archive
18,X8.79,2024/05/14,3664,16:46,16:51,17:02,View archive
19,X8.21,2000/07/14,9077,10:03,10:24,10:43,View archive
20,X8.08,2001/04/06,9415,19:10,19:21,19:31,View archive
21,X7.79,2012/03/07,1429,00:02,00:24,00:40,View archive
22,X7.77,2005/09/08,808,20:52,21:06,21:17,View archive
23,X7.77,2003/10/23,486,08:19,08:35,08:49,View archive
24,X7.7,2001/08/25,9591,16:23,16:45,17:04,View archive
25,X7.13,2014/02/25,1990,00:39,00:49,01:03,View archive
26,X7.1,2024/10/01,3842,21:58,22:20,22:29,View archive
27,X7.03,1998/08/18,8307,22:10,22:19,22:28,View archive
28,X6.98,2002/07/23,39,00:18,00:35,00:47,View archive
29,X6.37,2024/02/22,3590,22:08,22:34,22:43,View archive
30,X5.89,2024/05/11,3664,01:10,01:23,01:39,View archive
31,X5.83,2000/11/26,9236,16:34,16:48,16:56,View archive
32,X5.61,2003/11/03,488,09:43,09:55,10:19,View archive
33,X5.57,1998/08/19,8307,21:35,21:45,21:50,View archive
34,X5.52,2005/01/17,720,06:59,09:52,10:07,View archive
35,X5.37,1998/11/22,8384,06:30,06:42,06:49,View archive
36,X5.24,2004/07/16,649,13:49,13:55,14:01,View archive
37,X5.17,2005/09/09,808,09:42,09:59,10:08,View archive
38,X5.17,2003/05/28,365,00:17,00:27,00:39,View archive
39,X5.01,2023/12/31,3536,21:36,21:55,22:08,View archive
40,X4.99,2001/12/28,9767,20:02,20:45,21:32,View archive
41,X4.93,2013/11/05,1890,22:07,22:12,22:15,View archive
42,X4.88,2006/12/13,930,02:14,02:40,02:57,View archive
43,X4.77,1998/11/28,8395,04:54,05:52,06:13,View archive
44,X4.74,2002/07/20,39,21:04,21:30,21:54,View archive
45,X4.64,2013/05/14,1748,00:00,01:11,01:20,View archive
46,X4.58,2014/10/24,2192,21:07,21:41,22:13,View archive
47,X4.54,2024/09/14,3825,15:13,15:29,15:47,View archive
48,X4.54,2002/08/24,69,00:49,01:12,01:31,View archive
49,X4.52,2024/05/06,3663,05:38,06:35,06:47,View archive
50,X4.39,2002/07/15,30,19:59,20:08,20:14,View archive
